,word,origin,full_name,Group
0,abs brake,deu,German,Germanic
1,aivd,nld,Dutch;Flemish,Germanic
3,aachen,deu,German,Germanic
4,aarhus,dan,Danish,Germanic
7,aashaadha,san,Sanskrit,Other
8,ab,egy,Egyptian (Ancient),Other
9,ababil,ara,Arabic,Arabic
10,abbas,ara,Arabic,Arabic
11,abbethdin,heb,Hebrew,Germanic
12,abdera,grc,"Greek, Ancient (to 1453)",
13,abderite,lat,Latin,Latin
14,abdullah,ara,Arabic,Arabic
17,abenaki,fra,French,Latin
18,abgarus,lat,Latin,Latin
19,abhimanyu,san,Sanskrit,Other
20,abib,heb,Hebrew,Germanic
21,abigail,heb,Hebrew,Germanic
22,abimelech,heb,Hebrew,Germanic
24,abkhaz,rus,Russian,Other
26,abovian,hye,Armenian,Other
27,abovyan,hye,Armenian,Other
28,abraham,lat,Latin,Latin
29,abrahamian,hye,Armenian,Other
30,abrahamic,lat,Latin,Latin
31,abrahamical,lat,Latin,Latin
32,abrahamism,lat,Latin,Latin
33,abrahamyan,hye,Armenian,Other
34,abram,heb,Hebrew,Germanic
35,abruzzo,ita,Italian,Latin
36,abstinent,enm,"English, Middle (1100-1500)",
37,abu dhabi,ara,Arabic,Arabic
40,acadia,ita,Italian,Latin
41,acalepha,lat,Latin,Latin
42,achaemenes,grc,"Greek, Ancient (to 1453)",
43,achaemenian,grc,"Greek, Ancient (to 1453)",
44,achaemenid,grc,"Greek, Ancient (to 1453)",
45,acharya,san,Sanskrit,Other
46,achelous,lat,Latin,Latin
47,acheron,lat,Latin,Latin
48,acheronian,lat,Latin,Latin
49,acheulean,fra,French,Latin
50,achilles,lat,Latin,Latin
51,acmeism,rus,Russian,Other
52,acroceraunian,lat,Latin,Latin
53,acropolis,grc,"Greek, Ancient (to 1453)",
54,adad,akk,Akkadian,Other
55,adah,heb,Hebrew,Germanic
56,adam,lat,Latin,Latin
57,adamesque,lat,Latin,Latin
58,adamite,lat,Latin,Latin
59,adamos,ell,Modern Greek,Other
60,adamson,lat,Latin,Latin
61,adar,heb,Hebrew,Germanic
63,adeline,fro,"French, Old (842-ca.1400)",
64,aditi,san,Sanskrit,Other
65,aditya,san,Sanskrit,Other
67,adonai,heb,Hebrew,Germanic
68,adonic,grc,"Greek, Ancient (to 1453)",
69,adonis,grc,"Greek, Ancient (to 1453)",
71,adrian,lat,Latin,Latin
