,full_name,word
0,Afrikaans,48
1,Akkadian,7
2,Aleut,4
3,Amharic,5
4,Arabic,330
5,Avestan,17
6,Azerbaijani,3
7,Bashkir,1
8,Bengali,8
9,Bislama,1
10,Breton,4
11,Bulgarian,3
12,Catalan; Valencian,7
13,Central Khmer,1
14,Cherokee,2
15,Chinook jargon,6
16,Choctaw,2
17,Classical Syriac,1
18,Coptic,1
19,Cornish,2
20,Cree,3
21,Danish,13
22,Delaware,1
23,Divehi; Dhivehi; Maldivian,2
24,"Dutch, Middle (ca.1050-1350)",91
25,Egyptian (Ancient),9
26,"English, Middle (1100-1500)",18096
27,"English, Old (ca.450-1100)",5159
28,Esperanto,6
29,Estonian,1
30,Faroese,1
31,Finnish,21
32,Fon,2
33,"French, Middle (ca.1400-1600)",1441
34,"French, Old (842-ca.1400)",4368
35,Gaelic; Scottish Gaelic,44
36,Galician,3
37,Ganda,3
38,"German, Middle High (ca.1050-1500)",4
39,"German, Old High (ca.750-1050)",1
40,Gilbertese,1
41,Gothic,1
42,"Greek, Ancient (to 1453)",3650
43,Gujarati,5
44,Gwich'in,3
45,Haitian; Haitian Creole,1
46,Hawaiian,52
47,Hebrew,265
48,Hindi,113
49,Hittite,1
50,Hungarian,24
51,Indonesian,9
52,Inuktitut,9
53,Inupiaq,3
54,Irish,90
55,"Irish, Old (to 900)",6
56,Italian,541
57,Japanese,411
58,Kalaallisut; Greenlandic,4
59,Kannada,3
60,Kazakh,2
61,Kinyarwanda,2
62,Kongo,2
63,Konkani,1
64,Korean,41
65,Kurdish,2
66,Ladino,1
67,Lao,4
68,Latin,13716
69,Latvian,4
70,Lithuanian,6
71,Lojban,5
72,Luo (Kenya and Tanzania),1
73,Luxembourgish; Letzeburgesch,1
74,Makasar,1
75,Malayalam,5
76,Manchu,1
77,Mapudungun; Mapuche,4
78,Marathi,5
79,Marshallese,5
80,Masai,1
81,Mirandese,1
82,Mohawk,1
83,Mongolian,7
84,Nahuatl languages,15
85,Navajo; Navaho,2
86,Ndonga,1
87,Neapolitan,1
88,Nepali,1
89,"Norse, Old",287
90,Norwegian,20
91,Ojibwa,12
92,Oriya,1
93,Palauan,1
94,Pali,3
95,Panjabi; Punjabi,5
96,"Persian, Old (ca.600-400 B.C.)",4
97,Phoenician,1
98,Polish,18
99,Portuguese,120
100,Pushto; Pashto,8
101,Quechua,8
102,Rapanui,4
103,Romany,14
104,Russian,200
105,Samoan,4
106,Sanskrit,269
107,Scots,65
108,Shona,2
109,Sicilian,1
110,Sinhala; Sinhalese,3
111,Slovenian,2
112,"Sotho, Southern",1
113,Spanish; Castilian,509
114,Sumerian,1
115,Swahili,11
116,Swedish,44
117,Tagalog,6
118,Tahitian,3
119,Tamil,8
120,Tatar,1
121,Telugu,3
122,Thai,22
123,Tigrinya,2
124,Tiv,1
125,Tok Pisin,4
126,Tonga (Tonga Islands),5
127,Tswana,12
128,Turkish,125
129,"Turkish, Ottoman (1500-1928)",2
130,Twi,1
131,Uighur; Uyghur,1
132,Ukrainian,37
133,Umbundu,1
134,Urdu,21
135,Uzbek,2
136,Vietnamese,4
137,Volapük,2
138,Wolof,8
139,Xhosa,4
140,Yiddish,126
141,Yoruba,5
142,Zulu,23
