letter_li,number_li
"['a', 'b', 's', ' ', 'b', 'r', 'a', 'k', 'e']","[2, 3, 20, 0, 3, 19, 2, 12, 6]"
"['a', 'i', 'v', 'd']","[2, 10, 23, 5]"
"['a', 'a', 'c', 'h', 'e', 'n']","[2, 2, 4, 9, 6, 15]"
"['a', 'a', 'r', 'h', 'u', 's']","[2, 2, 19, 9, 22, 20]"
"['a', 'a', 's', 'h', 'a', 'a', 'd', 'h', 'a']","[2, 2, 20, 9, 2, 2, 5, 9, 2]"
"['a', 'b']","[2, 3]"
"['a', 'b', 'a', 'b', 'i', 'l']","[2, 3, 2, 3, 10, 13]"
"['a', 'b', 'b', 'a', 's']","[2, 3, 3, 2, 20]"
"['a', 'b', 'b', 'e', 't', 'h', 'd', 'i', 'n']","[2, 3, 3, 6, 21, 9, 5, 10, 15]"
"['a', 'b', 'd', 'e', 'r', 'i', 't', 'e']","[2, 3, 5, 6, 19, 10, 21, 6]"
"['a', 'b', 'd', 'u', 'l', 'l', 'a', 'h']","[2, 3, 5, 22, 13, 13, 2, 9]"
"['a', 'b', 'e', 'n', 'a', 'k', 'i']","[2, 3, 6, 15, 2, 12, 10]"
"['a', 'b', 'g', 'a', 'r', 'u', 's']","[2, 3, 8, 2, 19, 22, 20]"
"['a', 'b', 'h', 'i', 'm', 'a', 'n', 'y', 'u']","[2, 3, 9, 10, 14, 2, 15, 26, 22]"
"['a', 'b', 'i', 'b']","[2, 3, 10, 3]"
"['a', 'b', 'i', 'g', 'a', 'i', 'l']","[2, 3, 10, 8, 2, 10, 13]"
"['a', 'b', 'i', 'm', 'e', 'l', 'e', 'c', 'h']","[2, 3, 10, 14, 6, 13, 6, 4, 9]"
"['a', 'b', 'k', 'h', 'a', 'z']","[2, 3, 12, 9, 2, 27]"
"['a', 'b', 'o', 'v', 'i', 'a', 'n']","[2, 3, 16, 23, 10, 2, 15]"
"['a', 'b', 'o', 'v', 'y', 'a', 'n']","[2, 3, 16, 23, 26, 2, 15]"
"['a', 'b', 'r', 'a', 'h', 'a', 'm']","[2, 3, 19, 2, 9, 2, 14]"
"['a', 'b', 'r', 'a', 'h', 'a', 'm', 'i', 'a', 'n']","[2, 3, 19, 2, 9, 2, 14, 10, 2, 15]"
"['a', 'b', 'r', 'a', 'h', 'a', 'm', 'i', 'c']","[2, 3, 19, 2, 9, 2, 14, 10, 4]"
"['a', 'b', 'r', 'a', 'h', 'a', 'm', 'i', 'c', 'a', 'l']","[2, 3, 19, 2, 9, 2, 14, 10, 4, 2, 13]"
"['a', 'b', 'r', 'a', 'h', 'a', 'm', 'i', 's', 'm']","[2, 3, 19, 2, 9, 2, 14, 10, 20, 14]"
"['a', 'b', 'r', 'a', 'h', 'a', 'm', 'y', 'a', 'n']","[2, 3, 19, 2, 9, 2, 14, 26, 2, 15]"
"['a', 'b', 'r', 'a', 'm']","[2, 3, 19, 2, 14]"
"['a', 'b', 'r', 'u', 'z', 'z', 'o']","[2, 3, 19, 22, 27, 27, 16]"
"['a', 'b', 'u', ' ', 'd', 'h', 'a', 'b', 'i']","[2, 3, 22, 0, 5, 9, 2, 3, 10]"
"['a', 'c', 'a', 'd', 'i', 'a']","[2, 4, 2, 5, 10, 2]"
"['a', 'c', 'a', 'l', 'e', 'p', 'h', 'a']","[2, 4, 2, 13, 6, 17, 9, 2]"
"['a', 'c', 'h', 'a', 'r', 'y', 'a']","[2, 4, 9, 2, 19, 26, 2]"
"['a', 'c', 'h', 'e', 'l', 'o', 'u', 's']","[2, 4, 9, 6, 13, 16, 22, 20]"
"['a', 'c', 'h', 'e', 'r', 'o', 'n']","[2, 4, 9, 6, 19, 16, 15]"
"['a', 'c', 'h', 'e', 'r', 'o', 'n', 'i', 'a', 'n']","[2, 4, 9, 6, 19, 16, 15, 10, 2, 15]"
"['a', 'c', 'h', 'e', 'u', 'l', 'e', 'a', 'n']","[2, 4, 9, 6, 22, 13, 6, 2, 15]"
"['a', 'c', 'h', 'i', 'l', 'l', 'e', 's']","[2, 4, 9, 10, 13, 13, 6, 20]"
"['a', 'c', 'm', 'e', 'i', 's', 'm']","[2, 4, 14, 6, 10, 20, 14]"
"['a', 'c', 'r', 'o', 'c', 'e', 'r', 'a', 'u', 'n', 'i', 'a', 'n']","[2, 4, 19, 16, 4, 6, 19, 2, 22, 15, 10, 2, 15]"
"['a', 'd', 'a', 'd']","[2, 5, 2, 5]"
"['a', 'd', 'a', 'h']","[2, 5, 2, 9]"
"['a', 'd', 'a', 'm']","[2, 5, 2, 14]"
